% Device,CC1409005
% File name,CC1409005_20241204_162449
% Cast time (UTC),2024-12-04 16:24:49
% Cast time (local),2024-12-04 16:24:49
% Sample type,Cast
% Cast data,Raw
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),937.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2014-04-07
% Temperature calibration date,2014-04-07
% Pressure calibration date,2014-03-04
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
0.2,0,22.348817825317383,93.588043212890625
0.4,0.0010601093358992841,22.352270126342773,93.408576965332031
0.6,-0.001409329973220963,22.352088928222656,93.365036010742188
0.8,-0.002820190791132049,22.348838806152344,93.3173599243164
1,-0.0042310516090413586,22.343439102172852,93.298255920410156
1.2,-0.00035474201679441819,22.338281631469727,93.263748168945312
1.4,-0.0063470542507193528,22.323789596557617,93.294403076171875
1.6,-0.0045859942922614749,22.320333480834961,93.296295166015625
1.8,-0.0056430419387858421,22.328243255615234,93.318115234375
2,-0.013048699509624839,22.334442138671875,93.310234069824219
2.2,-0.00740713875770993,22.342555999755859,93.325515747070312
2.4,-0.008818953249935646,22.343050003051758,93.327568054199219
2.6,-0.0091702819023176119,22.3483829498291,93.302421569824219
2.8,-0.010933048542980828,22.34337043762207,93.31536865234375
3,-0.00882008276177082,22.346599578857422,93.338790893554688
3.2,-0.013401910681730911,22.344541549682617,93.333694458007812
3.4,-0.0056460539703433454,22.348453521728516,93.343795776367188
3.6,-0.010935508233076874,22.348955154418945,93.345207214355469
3.8,-0.0095254004230564959,22.352518081665039,93.333877563476562
4,-0.00071191889477617565,22.349258422851562,93.339225769042969
4.2,-0.007058044300087829,22.357297897338867,93.357696533203125
4.4,0.0028140157194052051,22.358268737792969,93.361526489257812
4.6,0.0010512490787419893,22.365882873535156,93.365837097167969
4.8,0.0031661222085865859,22.364532470703125,93.391754150390625
5,-9.03609467606259E-06,22.375064849853516,93.378990173339844
5.2,0.00069726006983650279,22.377178192138672,93.401947021484375
5.4,0.0038688043422592244,22.376558303833008,93.411094665527344
5.6,0.00034364756487725856,22.37713623046875,93.4379653930664
5.8,0.0028104265174757614,22.378236770629883,93.413337707519531
6,0.0056310186414592067,22.378543853759766,93.420608520507812
6.2,0.0010482370471827096,22.383136749267578,93.408599853515625
6.4,0.0024583448572030875,22.390058517456055,93.428672790527344
6.6,-0.0095306714782843471,22.387632369995117,93.420906066894531
6.8,-0.0010690957727561568,22.380514144897461,93.433334350585938
7,0.0024562616710532836,22.380842208862305,93.446258544921875
7.2,-0.0017765214491038961,22.384782791137695,93.480133056640625
7.4,-0.004595959232345237,22.37843132019043,93.4974136352539
7.6,0.0028098990049212347,22.378929138183594,93.528762817382812
7.8,0.0049209574375002063,22.377758026123047,93.547454833984375
8,0.0017505675058213654,22.378101348876953,93.546577453613281
8.2,-0.0014236371231248768,22.3837947845459,93.562660217285156
8.4,-0.0031864037637880926,22.383626937866211,93.574470520019531
8.6,-0.0017782033024005273,22.398157119750977,93.5769271850586
8.8,-0.0017785798063449931,22.398603439331055,93.593338012695312
9,-0.0028365811271839902,22.397161483764648,93.575851440429688
9.2,-0.010946050343532576,22.403646469116211,93.567665100097656
9.4,-0.00988880203058251,22.403022766113281,93.574630737304688
9.6,-0.013415866156597289,22.394989013671875,93.569587707519531
9.8,-0.0035438061371042551,22.367963790893555,93.569625854492188
10,-0.0063641975946620022,22.337177276611328,93.547012329101562
10.2,-0.0038955112934324632,22.313291549682617,93.518295288085938
10.4,-0.0053063721113417728,22.29374885559082,93.510833740234375
10.6,-0.0067181866035674886,22.271350860595703,93.462188720703125
10.8,-0.0010766258516525795,22.255224227905273,93.470985412597656
11,-0.0038979709835267329,22.259559631347656,93.500137329101562
11.2,-0.0046031128072954175,22.256349563598633,93.485443115234375
11.4,-0.0021344265060658785,22.264116287231445,93.458053588867188
11.6,-0.0010781318674322193,22.265836715698242,93.450691223144531
11.8,-2.1837228798560204E-05,22.276140213012695,93.466484069824219
12,-0.0060141494627234948,22.288803100585938,93.427261352539062
12.2,-0.0031954646873710857,22.290311813354492,93.4425048828125
12.4,-2.2966740633734162E-05,22.289255142211914,93.448493957519531
12.6,-0.0081324359569805438,22.290441513061523,93.462234497070312
12.8,-0.0024899215307492284,22.284578323364258,93.491165161132812
13,-0.003195063354517913,22.265968322753906,93.473136901855469
13.2,-0.0053106894922514414,22.258342742919922,93.453781127929688
13.4,-0.0042543948536195586,22.25434684753418,93.452804565429688
13.6,0.0020928848924359755,22.256891250610352,93.45013427734375
13.8,0.0059701481589993222,22.261287689208984,93.442367553710938
14,-0.0031988532228748312,22.264461517333984,93.4727783203125
14.2,-0.00672591734888961,22.274560928344727,93.468963623046875
14.4,-0.0063743880300819455,22.295711517333984,93.480087280273438
14.6,-0.00425665387728813,22.29176139831543,93.521492004394531
14.8,-0.006725139512091971,22.299018859863281,93.503814697265625
15,-0.0046121737308801869,22.304641723632812,93.524528503417969
15.2,-0.0021425337553324653,22.305339813232422,93.519241333007812
15.4,-0.0067281763725581811,22.315032958984375,93.511772155761719
15.6,0.0017353066816010454,22.318349838256836,93.5437240600586
15.8,0.0027925549945511108,22.318180084228516,93.558097839355469
