% Device,CC1409005
% File name,CC1409005_20241204_143242
% Cast time (UTC),2024-12-04 14:32:42
% Cast time (local),2024-12-04 14:32:42
% Sample type,Cast
% Cast data,Raw
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),1923.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2014-04-07
% Temperature calibration date,2014-04-07
% Pressure calibration date,2014-03-04
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
0.2,0,24.57823371887207,66.580390930175781
0.4,-0.0028228391785205531,24.576662063598633,65.715377807617188
0.6,-0.0059985378541114187,24.579660415649414,65.72119140625
0.8,-0.0010632364686671281,24.58100700378418,65.721908569335938
1,-0.00070843282492205617,24.578166961669922,65.725090026855469
1.2,-0.0074089117739521981,24.58220100402832,65.723297119140625
1.4,-0.012700813757648533,24.581565856933594,65.687049865722656
1.6,-0.011996011639782367,24.584188461303711,65.712608337402344
1.8,-0.0067078507572677637,24.581758499145508,65.692001342773438
2,-0.0063559081364719106,24.587736129760742,65.674079895019531
2.2,-0.0052992001958518387,24.583826065063477,65.701080322265625
2.4,-0.0070615535345286418,24.588689804077148,65.698471069335938
2.6,-0.0045962686285765386,24.583887100219727,65.670013427734375
2.8,-0.0084757789496752167,24.594499588012695,65.676223754882812
3,-0.00353857021559989,24.58538818359375,65.667205810546875
3.2,-0.0035394870918743493,24.5916690826416,65.675933837890625
3.4,-0.0049508882821136524,24.596309661865234,65.6693115234375
3.6,-0.009888977094423268,24.599990844726562,65.671661376953125
3.8,-0.0091851286508735086,24.595672607421875,65.649818420410156
4,-0.003544108271288593,24.597249984741211,65.650299072265625
4.2,-0.0077755244151411773,24.598039627075195,65.6684799194336
4.4,-0.0035459420238375117,24.600433349609375,65.65252685546875
4.6,-0.00742545234493619,24.60334587097168,65.677459716796875
4.8,-0.0031949162793178942,24.603904724121094,65.6936264038086
5,-0.0098944415540298536,24.605808258056641,65.712982177734375
5.2,-0.0070743898023746254,24.6029052734375,65.698684692382812
5.4,-0.0049610107191764286,24.607723236083984,65.701347351074219
5.6,-0.0074290830519938567,24.605842590332031,65.696098327636719
5.8,-0.013424796681198004,24.602968215942383,65.692962646484375
6,-0.0095461664383318379,24.604179382324219,65.676834106445312
6.2,-0.01448520892495786,24.603816986083984,65.664543151855469
6.4,-0.0099008596879528454,24.596017837524414,65.662063598632812
6.6,-0.009902730238543711,24.600687026977539,65.671684265136719
6.8,-0.0042626635332752016,24.601619720458984,65.675712585449219
7,-0.0099036103167762235,24.6027889251709,65.68865966796875
7.2,-0.0046173567828944329,24.605813980102539,65.697189331054688
7.4,-0.005323038978993111,24.606657028198242,65.709747314453125
7.6,-0.0060287211750917891,24.606424331665039,65.716995239257812
7.8,-0.0077920281880849984,24.606176376342773,65.702323913574219
8,-0.0032105399740274265,24.60649299621582,65.715904235839844
8.2,-0.0099110189230575685,24.60667610168457,65.6969223022461
8.4,-0.0042699985434726528,24.6070556640625,65.6815414428711
8.6,-0.0028604311057822684,24.603847503662109,65.676071166992188
8.8,-0.0081485183922129778,24.602573394775391,65.681381225585938
9,-0.0077984831200499372,24.603542327880859,65.653945922851562
9.2,-0.0060370098596056465,24.607181549072266,65.6871109008789
9.4,-0.0063879252100012,24.602954864501953,65.714645385742188
9.6,-0.0063897957605920652,24.607791900634766,65.7252197265625
9.8,-0.0056859473170423058,24.606117248535156,65.719436645507812
10,-0.0099173634608966665,24.608154296875,65.7398452758789
10.2,-0.014150686953382063,24.608945846557617,65.719352722167969
10.4,-0.0095663377163752727,24.610347747802734,65.728744506835938
10.6,-0.0088624892728255134,24.605766296386719,65.726356506347656
10.8,-0.00992198464031091,24.613313674926758,65.747154235839844
