% Device,CC1409005
% File name,CC1409005_20241204_151920
% Cast time (UTC),2024-12-04 15:19:20
% Cast time (local),2024-12-04 15:19:20
% Sample type,Cast
% Cast data,Raw
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),977
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2014-04-07
% Temperature calibration date,2014-04-07
% Pressure calibration date,2014-03-04
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
0.2,0,22.023170471191406,128.98805236816406
0.4,0.0021165645483769424,22.0219669342041,127.61801147460938
0.6,-0.00070404283928127143,22.023639678955078,127.7496337890625
0.8,0.0021163333546034835,22.028217315673828,127.89213562011719
1,-0.0035233353123516054,22.033329010009766,127.96336364746094
1.2,0.0031737269777245558,22.036375045776367,127.98936462402344
1.4,0.00035502693869915447,22.025562286376953,127.97978210449219
1.6,0.00035538817897062813,22.025236129760742,127.99195861816406
1.8,-0.0021123597116172732,22.032381057739258,127.86050415039063
2,-0.0081058415499608572,22.026203155517578,127.74711608886719
2.2,-0.0010549660884979772,22.037391662597656,127.70685577392578
2.4,-0.0042284329732265036,22.03895378112793,127.69713592529297
2.6,-0.00281663374467378,22.038547515869141,127.73554992675781
2.8,0.0098780863212812875,22.03980827331543,127.75579833984375
3,-0.00034780213327145759,22.043380737304688,127.91333770751953
3.2,0.0031782930547539223,22.041574478149414,128.00186157226563
3.4,0.0017700773296933647,22.044296264648438,128.03515625
3.6,0.0091728586139101509,22.045291900634766,128.11456298828125
3.8,0.0081165487116035,22.046716690063477,128.15447998046875
4,0.0074092836091015357,22.046607971191406,128.17201232910156
4.2,0.0045896298957597281,22.053627014160156,128.19122314453125
4.4,0.0042380853132772955,22.055381774902344,128.2413330078125
4.6,0.002475102742513613,22.064212799072266,128.20851135253906
4.8,9.2622005585241141E-06,22.062892913818359,128.20295715332031
5,0.0077649029818456228,22.065517425537109,128.15266418457031
5.2,-0.0014024069814979612,22.071632385253906,128.07073974609375
5.4,-0.0056334986831210188,22.069290161132812,127.96682739257813
5.6,-0.0010488250038847014,22.070449829101562,127.88221740722656
5.8,-0.00069560426654291518,22.071090698242188,127.82843017578125
6,-0.0010471488490253478,22.071455001831055,127.8096923828125
6.2,-0.0052782405506484054,22.070560455322266,127.91972351074219
6.4,0.00036310427116603705,22.071069717407227,127.93801879882813
6.6,0.007768746578332042,22.067523956298828,128.04013061523438
6.8,0.0063576698303222656,22.058208465576172,128.03085327148438
7,0.0074156558874882705,22.0419921875,128.05467224121094
7.2,0.0017759872205331817,22.0424747467041,128.08135986328125
7.4,0.0024811137806288741,22.041292190551758,128.03361511230469
7.6,0.00071813120986519152,22.042543411254883,128.10401916503906
7.8,0.00072039979876947768,22.045394897460938,128.1109619140625
8,0.00459935448386517,22.046674728393555,128.12599182128906
8.2,0.0003663554336093,22.053176879882812,128.05410766601563
8.4,0.0031886389761268674,22.055513381958008,127.98786163330078
8.6,-0.00069054690274406028,22.063411712646484,127.99421691894531
8.8,-0.0045687791072968054,22.067569732666016,127.87685394287109
9,-0.00033696492513080045,22.064844131469727,127.78656005859375
9.2,-0.00033660368485932679,22.072622299194336,127.71359252929688
9.4,0.00072328972093949062,22.070241928100586,127.68861389160156
9.6,0.0035427122405078393,22.0706787109375,127.6962890625
9.8,0.0010749643499199379,22.069646835327148,127.765380859375
10,0.00072246609312109911,22.070224761962891,127.86299133300781
10.2,-0.0063276868877988335,22.070957183837891,127.94253540039063
10.4,0.0028393918817695152,22.071157455444336,128.02928161621094
10.6,0.0063654870697948951,22.071798324584961,128.04693603515625
10.8,0.0024882085395585563,22.072647094726562,128.08059692382813
11,0.0070709748701620612,22.074752807617188,128.057861328125
11.2,0.013068040211996035,22.070465087890625,128.0994873046875
11.4,0.0088350411617401647,22.078470230102539,128.070068359375
11.6,0.0081296834078710134,22.076269149780273,127.99699401855469
11.8,0.00813004464814071,22.079586029052734,127.91270446777344
12,0.012713764653060622,22.079673767089844,127.86009216308594
12.2,0.010597922585226627,22.073802947998047,127.8526611328125
12.4,0.0010787067991309129,22.079154968261719,127.89460754394531
12.6,0.01166008457992973,22.074928283691406,127.90327453613281
12.8,0.0091904293407090165,22.074548721313477,127.96010589599609
13,0.010601274894945334,22.077356338500977,128.03466796875
13.2,0.0063701831933222763,22.084577560424805,128.03128051757813
13.4,0.0095434188842773438,22.080516815185547,128.0465087890625
13.6,0.0028442180517949112,22.08683967590332,128.04664611816406
13.8,0.010249860358960916,22.087978363037109,127.98516845703125
14,0.00037778507579488974,22.091657638549805,127.99407196044922
14.2,0.00073005213882026965,22.08258056640625,128.02200317382813
14.4,0.00848760026874018,22.078725814819336,128.07379150390625
14.6,0.0077831961891874357,22.085958480834961,128.16702270507813
14.8,0.010955478205826097,22.081365585327148,128.24526977539063
15,0.0046110442190467893,22.095840454101562,128.33290100097656
15.2,0.0067247477444727366,22.091394424438477,128.33102416992188
15.4,0.0021436575687285853,22.0954647064209,128.30528259277344
15.6,0.0070792833964024027,22.095975875854492,128.19528198242188
15.8,0.0028491453690957513,22.09515380859375,128.11839294433594
16,2.6630632804724996E-05,22.098239898681641,128.01423645019531
16.2,0.0070803671172168237,22.098396301269531,127.94091796875
