"","apply.t.ate..median..MARGIN...2."
"X659",0.0408217777777778
"X660",0.040704
"X661",0.0405573333333333
"X662",0.0405061904761905
"X663",0.04051
"X664",0.0403957142857142
"X665",0.0403195238095238
"X666",0.04031
"X667",0.0401940909090909
"X668",0.0399427272727273
"X669",0.0395586363636364
"X670",0.0392145454545454
"X671",0.0391673333333333
"X672",0.0390682222222222
"X673",0.038924
"X674",0.038676
"X675",0.0386338461538461
"X676",0.0389679487179488
"X677",0.0390053846153847
"X678",0.0390528205128205
"X679",0.0392825
"X680",0.039288
"X681",0.0391575
"X682",0.0390779999999999
"X683",0.0390083333333333
"X684",0.03938
"X685",0.0397744444444445
"X686",0.0401611111111111
"X687",0.0403523076923077
"X688",0.0403771794871795
"X689",0.04029
"X690",0.040333076923077
"X691",0.0407707317073171
"X692",0.0412634146341464
"X693",0.0415843902439025
"X694",0.0420231707317073
"X695",0.0426497142857143
"X696",0.0431811428571429
"X697",0.0435434285714286
"X698",0.0439967647058824
"X699",0.0445520588235294
"X700",0.0444941176470587
"X701",0.0449567647058823
"X702",0.0458613513513514
"X703",0.0469554054054054
"X704",0.0477621621621621
"X705",0.04903
"X706",0.0505983870967742
"X707",0.0519870967741935
"X708",0.0533551612903225
"X709",0.0560257142857142
"X710",0.0580157142857143
"X711",0.060608
"X712",0.0627081818181818
"X713",0.06433
"X714",0.0657872727272727
"X715",0.0673140909090909
"X716",0.06913
"X717",0.0717938888888889
"X718",0.07415
"X719",0.0766283333333333
"X720",0.0798142424242423
"X721",0.083399696969697
"X722",0.086969090909091
"X723",0.090512142857143
"X724",0.0948
"X725",0.0980449999999999
"X726",0.101624285714286
"X727",0.104377142857143
"X728",0.106690238095238
"X729",0.109607857142857
"X730",0.112839583333333
"X731",0.116552916666666
"X732",0.12133625
"X733",0.12387
"X734",0.124524871794872
"X735",0.125653846153846
"X736",0.128057179487179
"X737",0.12859
"X738",0.12859
"X739",0.12859
"X740",0.12859
"X741",0.12859
"X742",0.12859
"X743",0.12859
"X744",0.12859
"X745",0.12859
"X746",0.12859
"X747",0.12859
"X748",0.12859
"X749",0.12859
"X750",0.12859
