[Header]
HydroSoftVersion=2.90
CreationDate=12/05/24 09:01:10
FileType=dat
DeviceType=HydroScat-6
DataSource=Instrument Cast 287
CalSource=HydroScat-6
Serial=HS120460
Config=M2B2F1
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb420"
"bb510"
"bb442"
"bb700"
"bb470"
"bb590"
"fl510"
"fl700"
[ColumnHeadings]
Time,Depth,bb420,bb510,bb442,bb700,bb470,bb590,fl510,fl700,bb420uncorr,bb510uncorr,bb442uncorr,bb700uncorr,bb470uncorr,bb590uncorr,fl510uncorr,fl700uncorr,betabb420,betabb510,betabb442,betabb700,betabb470,betabb590,betafl510,betafl700,betabb420uncorr,betabb510uncorr,betabb442uncorr,betabb700uncorr,betabb470uncorr,betabb590uncorr,betafl510uncorr,betafl700uncorr
[Data]
45630.5656944444,3.17465,1.285239E-02,9.426079E-03,1.226779E-02,7.088495E-03,1.156553E-02,8.48441E-03,3.373587E-04,2.975768E-03,1.244687E-02,9.19801E-03,1.188037E-02,6.942655E-03,1.121752E-02,8.287556E-03,3.281331E-04,2.945143E-03,1.939025E-03,1.408541E-03,1.843962E-03,1.049554E-03,1.732057E-03,1.260679E-03,4.832594E-05,4.337471E-04,1.879265E-03,1.374931E-03,1.786871E-03,1.028062E-03,1.680772E-03,1.23167E-03,4.832594E-05,4.337471E-04,
45630.5657060185,3.734,1.372018E-02,9.807172E-03,1.318353E-02,7.431134E-03,.0113497,8.782523E-03,4.363017E-04,3.661934E-03,1.325654E-02,9.560176E-03,1.273547E-02,7.270982E-03,1.101462E-02,8.571606E-03,4.236656E-04,3.622439E-03,2.066907E-03,1.464701E-03,1.978912E-03,1.100047E-03,1.700252E-03,1.304611E-03,6.239552E-05,5.334961E-04,1.998584E-03,1.428302E-03,1.912882E-03,1.076446E-03,1.650873E-03,1.273529E-03,6.239552E-05,5.334961E-04,
45630.5657175926,4.02215,1.403452E-02,1.035292E-02,1.390378E-02,7.763089E-03,1.192064E-02,9.701011E-03,4.196706E-04,4.202871E-03,1.354893E-02,1.007756E-02,1.340509E-02,7.588456E-03,1.155084E-02,9.443838E-03,4.070512E-04,4.155536E-03,2.11323E-03,1.545124E-03,2.085051E-03,1.148966E-03,1.784389E-03,1.439964E-03,5.994863E-05,6.120082E-04,2.041671E-03,1.504546E-03,2.011562E-03,1.123231E-03,1.729892E-03,1.402066E-03,5.994863E-05,6.120082E-04,
45630.5657291667,4.3442,1.427666E-02,1.161406E-02,1.340864E-02,7.402791E-03,1.236935E-02,.0103762,4.162144E-04,4.063739E-03,1.377384E-02,1.126753E-02,1.294502E-02,7.243848E-03,1.197112E-02,1.008223E-02,4.028977E-04,4.020076E-03,2.148914E-03,1.730973E-03,2.012085E-03,1.095871E-03,1.850513E-03,1.539465E-03,5.933692E-05,5.920584E-04,2.074815E-03,1.679907E-03,1.943764E-03,1.072448E-03,1.791827E-03,1.496143E-03,5.933692E-05,5.920584E-04,
45630.5657407407,4.6832,1.602915E-02,1.154072E-02,1.342676E-02,7.765929E-03,1.261737E-02,9.666181E-03,3.526311E-04,4.49899E-03,1.539319E-02,1.119855E-02,1.296188E-02,7.59117E-03,.012203,9.410842E-03,3.405939E-04,4.448302E-03,2.40717E-03,1.720166E-03,2.014756E-03,1.149384E-03,1.887062E-03,1.434832E-03,5.01611E-05,6.551255E-04,2.313452E-03,1.669741E-03,1.946249E-03,1.123631E-03,1.825997E-03,1.397204E-03,5.01611E-05,6.551255E-04,
45630.5657523148,4.83575,1.534574E-02,1.379005E-02,1.306204E-02,8.714215E-03,.0137375,8.978521E-03,4.610835E-04,4.642365E-03,1.476344E-02,1.330256E-02,1.262226E-02,8.494749E-03,1.324644E-02,8.758103E-03,4.444335E-04,4.583761E-03,2.306459E-03,2.051639E-03,1.961007E-03,1.289129E-03,2.05213E-03,1.333494E-03,6.545412E-05,6.750753E-04,2.220649E-03,.0019798,1.896199E-03,1.256787E-03,1.979766E-03,1.301012E-03,6.545412E-05,6.750753E-04,
45630.5657638889,4.9205,1.386519E-02,1.013443E-02,.0136392,7.819897E-03,1.138052E-02,9.425582E-03,3.809334E-04,4.56564E-03,1.339149E-02,9.870605E-03,.0131594,7.642725E-03,1.104361E-02,9.182742E-03,3.69669E-04,4.513847E-03,2.088278E-03,1.512927E-03,2.046061E-03,1.157337E-03,1.704793E-03,1.399376E-03,5.444315E-05,6.647786E-04,2.01847E-03,1.474048E-03,1.975355E-03,1.131229E-03,1.655144E-03,1.363589E-03,5.444315E-05,6.647786E-04,
45630.565775463,5.3273,1.563834E-02,1.292042E-02,1.349409E-02,7.626826E-03,1.212166E-02,9.95259E-03,4.047604E-04,4.378781E-03,1.503334E-02,.012492,1.302451E-02,7.458211E-03,1.173924E-02,9.68198E-03,3.904369E-04,4.330322E-03,2.349578E-03,1.923485E-03,2.024678E-03,1.128885E-03,1.814011E-03,1.477038E-03,5.750175E-05,6.377499E-04,2.260421E-03,1.860351E-03,1.955478E-03,1.104037E-03,1.757656E-03,1.43716E-03,5.750175E-05,6.377499E-04,
45630.565787037,5.768,1.449486E-02,1.168742E-02,1.393753E-02,8.463116E-03,1.353477E-02,1.038077E-02,3.434019E-04,4.463724E-03,1.397626E-02,1.133651E-02,.0134364,8.255965E-03,1.305804E-02,1.008654E-02,3.322867E-04,4.408975E-03,2.181068E-03,1.741784E-03,2.090025E-03,1.252126E-03,2.022254E-03,1.540137E-03,4.893766E-05,6.493336E-04,2.104644E-03,1.690073E-03,2.016176E-03,1.221599E-03,1.952002E-03,1.496777E-03,4.893766E-05,6.493336E-04,
45630.5657986111,6.25955,1.541885E-02,.0120179,1.375588E-02,7.765929E-03,1.226094E-02,.0102592,4.213637E-04,4.282438E-03,1.483092E-02,1.164694E-02,1.326779E-02,7.59117E-03,1.186967E-02,9.971768E-03,4.070512E-04,4.234189E-03,2.317233E-03,1.790486E-03,2.063256E-03,1.149384E-03,1.834537E-03,1.522221E-03,5.994863E-05,6.235919E-04,2.230592E-03,1.735819E-03,1.991329E-03,1.123631E-03,1.776877E-03,1.479865E-03,5.994863E-05,6.235919E-04,
