[Header]
HydroSoftVersion=2.90
CreationDate=12/05/24 08:52:07
FileType=dat
DeviceType=HydroScat-6
DataSource=Instrument Cast 283
CalSource=HydroScat-6
Serial=HS120460
Config=M2B2F1
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb420"
"bb510"
"bb442"
"bb700"
"bb470"
"bb590"
"fl510"
"fl700"
[ColumnHeadings]
Time,Depth,bb420,bb510,bb442,bb700,bb470,bb590,fl510,fl700,bb420uncorr,bb510uncorr,bb442uncorr,bb700uncorr,bb470uncorr,bb590uncorr,fl510uncorr,fl700uncorr,betabb420,betabb510,betabb442,betabb700,betabb470,betabb590,betafl510,betafl700,betabb420uncorr,betabb510uncorr,betabb442uncorr,betabb700uncorr,betabb470uncorr,betabb590uncorr,betafl510uncorr,betafl700uncorr
[Data]
45630.4776157407,8.975001E-02,-9.131195E-04,-1.32077E-04,1.02433E-04,1.125111E-03,-2.869304E-05,-6.70661E-04,4.161872E-04,0,-9.172821E-04,-1.32077E-04,1.034009E-04,1.121647E-03,-2.832129E-05,-6.724663E-04,4.180229E-04,0,-8.953353E-05,0,5.121123E-05,1.70758E-04,2.347057E-05,-8.84606E-05,6.156449E-05,0,-9.014695E-05,0,5.135386E-05,1.702475E-04,2.352535E-05,-8.872664E-05,6.156449E-05,0,
45630.4776273148,7.280001E-02,-3.055579E-04,-4.407584E-04,-3.13088E-05,1.125111E-03,-4.317799E-05,-3.707857E-04,4.163702E-04,-1.735036E-03,-3.055579E-04,-4.416365E-04,-3.062988E-05,1.121647E-03,-4.283399E-05,-3.714232E-04,4.180229E-04,-1.732441E-03,0,-4.548894E-05,3.150232E-05,1.70758E-04,2.133599E-05,-4.426937E-05,6.156449E-05,-2.551459E-04,0,-4.561834E-05,3.160238E-05,1.702475E-04,2.138668E-05,-4.436332E-05,6.156449E-05,-2.551459E-04,
45630.4776388889,.2084,-9.131195E-04,2.246449E-05,-4.568776E-06,2.552943E-04,-2.869304E-05,-6.70661E-04,-8.325549E-04,-8.663762E-04,-9.172821E-04,2.270273E-05,-3.823735E-06,2.551904E-04,-2.832129E-05,-6.724663E-04,-8.360458E-04,-8.662203E-04,-8.953353E-05,2.277406E-05,3.544288E-05,4.25772E-05,2.347057E-05,-8.84606E-05,-1.23129E-04,-1.275729E-04,-9.014695E-05,2.280917E-05,3.555267E-05,4.256189E-05,2.352535E-05,-8.872664E-05,-1.23129E-04,-1.275729E-04,
45630.477650463,3.890001E-02,9.708198E-03,-1.32077E-04,2.077903E-02,1.342376,4.374989E-05,2.305566E-04,-4.22408E-04,5.321683E-02,9.48203E-03,-1.32077E-04,1.967189E-02,.399114,4.42422E-05,2.30663E-04,-4.180229E-04,2.901838E-02,1.475681E-03,0,3.098225E-03,.1978247,3.414615E-05,4.434763E-05,-6.156449E-05,4.273694E-03,1.442351E-03,0,2.935071E-03,5.882052E-02,3.42187E-05,4.436332E-05,-6.156449E-05,4.273694E-03,
45630.477662037,.1745,2.145991E-03,3.614074E-03,-3.995412E-03,1.223563E-02,-2.869304E-05,8.135355E-02,0,3.791414E-02,2.141339E-03,3.582637E-03,-4.051552E-03,1.180794E-02,-2.832129E-05,6.691171E-02,0,3.724747E-02,3.612733E-04,5.520529E-04,-5.526691E-04,1.808063E-03,2.347057E-05,1.199907E-02,0,5.485637E-03,3.605878E-04,5.474201E-04,-5.609422E-04,1.745037E-03,2.352535E-05,9.870838E-03,0,5.485637E-03,
45630.4776736111,8.975001E-02,-9.131195E-04,2.246449E-05,9.655333E-03,1.416068E-03,-1.155846E-04,-3.707857E-04,0,-4.339494E-04,-9.172821E-04,2.270273E-05,9.417727E-03,1.410466E-03,-1.153975E-04,-3.714232E-04,0,-4.331101E-04,-8.953353E-05,2.277406E-05,1.458978E-03,2.13635E-04,1.066577E-05,-4.426937E-05,0,-6.378647E-05,-9.014695E-05,2.280917E-05,1.423963E-03,2.128094E-04,1.069334E-05,-4.436332E-05,0,-6.378647E-05,
45630.4776851852,.15755,-3.055579E-04,4.868932E-04,6.62706E-03,1.416068E-03,-5.766173E-05,-2.206492E-04,-2.084559E-03,4.339494E-04,-3.055579E-04,4.87042E-04,6.518885E-03,1.410466E-03,-5.734668E-05,-2.209016E-04,-2.090114E-03,4.331101E-04,0,9.121475E-05,1.012715E-03,2.13635E-04,1.920159E-05,-2.214446E-05,-3.078225E-04,6.378647E-05,0,9.123667E-05,9.967738E-04,2.128094E-04,1.924802E-05,-2.218166E-05,-3.078225E-04,6.378647E-05,
45630.4776967593,.22535,-7.108347E-04,3.319495E-04,6.877493E-03,8.346632E-04,-4.317799E-05,-5.207896E-04,0,-2.601411E-03,-7.13374E-04,3.322622E-04,6.760455E-03,8.328281E-04,-4.283399E-05,-5.219447E-04,0,-2.598661E-03,-5.972375E-05,6.838142E-05,1.04962E-03,1.279561E-04,2.133599E-05,-6.637475E-05,0,-3.827188E-04,-6.009796E-05,6.842751E-05,1.032373E-03,1.276856E-04,2.138668E-05,-6.654498E-05,0,-3.827188E-04,
45630.4777083333,.12365,-5.083142E-04,7.971834E-04,4.883755E-03,2.552943E-04,-4.317799E-05,-3.707857E-04,-4.169712E-04,-1.732752E-03,-5.094659E-04,7.966014E-04,4.827894E-03,2.551904E-04,-4.283399E-05,-3.714232E-04,-4.180229E-04,-1.732441E-03,-2.987926E-05,1.369408E-04,7.558123E-04,4.25772E-05,2.133599E-05,-4.426937E-05,-6.156449E-05,-2.551459E-04,-3.004898E-05,1.36855E-04,7.475804E-04,4.256189E-05,2.138668E-05,-4.436332E-05,-6.156449E-05,-2.551459E-04,
45630.4777199074,.15755,-3.055579E-04,3.319495E-04,2.66722E-03,1.125111E-03,-1.011057E-04,-3.707857E-04,4.168215E-04,-1.301277E-03,-3.055579E-04,3.322622E-04,2.653762E-03,1.121647E-03,-1.008848E-04,-3.714232E-04,4.180229E-04,-1.29933E-03,0,6.838142E-05,4.29172E-04,1.70758E-04,1.279945E-05,-4.426937E-05,6.156449E-05,-1.913594E-04,0,6.842751E-05,4.271888E-04,1.702475E-04,1.283201E-05,-4.436332E-05,6.156449E-05,-1.913594E-04,
