[Header]
HydroSoftVersion=2.90
CreationDate=12/05/24 08:59:21
FileType=dat
DeviceType=HydroScat-6
DataSource=Instrument Cast 286
CalSource=HydroScat-6
Serial=HS120460
Config=M2B2F1
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb420"
"bb510"
"bb442"
"bb700"
"bb470"
"bb590"
"fl510"
"fl700"
[ColumnHeadings]
Time,Depth,bb420,bb510,bb442,bb700,bb470,bb590,fl510,fl700,bb420uncorr,bb510uncorr,bb442uncorr,bb700uncorr,bb470uncorr,bb590uncorr,fl510uncorr,fl700uncorr,betabb420,betabb510,betabb442,betabb700,betabb470,betabb590,betafl510,betafl700,betabb420uncorr,betabb510uncorr,betabb442uncorr,betabb700uncorr,betabb470uncorr,betabb590uncorr,betafl510uncorr,betafl700uncorr
[Data]
45630.5537268519,.1067,-1.784774E-04,-1.055079E-04,-2.16937E-04,1.838229E-04,-1.423511E-04,-9.487908E-05,1.317542E-04,5.259649E-05,-1.778764E-04,-1.054574E-04,-2.168324E-04,1.837918E-04,-1.422297E-04,-9.491116E-05,1.321908E-04,5.259274E-05,1.872726E-05,3.915364E-06,4.147159E-06,3.204479E-05,6.721306E-06,-3.610305E-06,1.946846E-05,7.745616E-06,1.881583E-05,3.922808E-06,4.162582E-06,3.204021E-05,6.739205E-06,-3.615033E-06,1.946846E-05,7.745616E-06,
45630.5537384259,.15755,-3.055579E-04,-1.836909E-04,-1.022101E-03,1.701372E-03,-1.87961E-04,9.297739E-05,-2.464864E-04,1.991679E-03,-3.055579E-04,-1.838004E-04,-1.026829E-03,1.693182E-03,-1.87961E-04,9.310114E-05,-2.473755E-04,1.986973E-03,0,-7.606103E-06,-1.145061E-04,2.556789E-04,0,2.407323E-05,-3.643232E-05,2.926323E-04,0,-7.622235E-06,-1.152029E-04,2.54472E-04,0,2.409146E-05,-3.643232E-05,2.926323E-04,
45630.55375,.22535,-3.055579E-04,-1.492833E-04,-2.45079E-04,-1.190729E-03,-2.168153E-04,7.771151E-05,-4.108305E-05,-1.321969E-03,-3.055579E-04,-1.493181E-04,-2.45079E-04,-1.195425E-03,-2.168983E-04,7.783034E-05,-4.122924E-05,-1.324649E-03,0,-2.535613E-06,0,-1.705166E-04,-4.252123E-06,2.182357E-05,-6.072054E-06,-1.950882E-04,0,-2.540745E-06,0,-1.712086E-04,-4.264363E-06,2.184108E-05,-6.072054E-06,-1.950882E-04,
45630.5537615741,.1406,-2.609915E-04,-1.836909E-04,-9.695687E-04,-2.339671E-03,-1.591019E-04,2.259319E-04,-2.054184E-04,0,-2.607701E-04,-1.838004E-04,-9.73865E-04,-2.357222E-03,-1.590236E-04,2.260407E-04,-2.061462E-04,0,6.567544E-06,-7.606103E-06,-1.067647E-04,-3.398308E-04,4.252832E-06,4.366611E-05,-3.036027E-05,0,6.600165E-06,-7.622235E-06,-1.073978E-04,-3.424172E-04,4.264363E-06,4.368215E-05,-3.036027E-05,0,
45630.5537731481,.12365,-2.832761E-04,-1.66488E-04,-1.930787E-03,-2.053198E-03,-1.73532E-04,-7.038007E-05,-4.108337E-05,-1.320219E-03,-2.83164E-04,-1.665593E-04,-1.94558E-03,-2.066773E-03,-1.734923E-04,-7.038007E-05,-4.122924E-05,-1.324649E-03,3.283562E-06,-5.07098E-06,-2.484149E-04,-2.976146E-04,2.126327E-06,0,-6.072054E-06,-1.950882E-04,3.300082E-06,-5.08149E-06,-2.505948E-04,-2.99615E-04,2.132182E-06,0,-6.072054E-06,-1.950882E-04,
45630.5537847222,.1745,-3.278368E-04,-3.040653E-04,-2.170243E-03,-3.23671E-04,-1.591019E-04,-7.038007E-05,1.232184E-04,-4.412404E-04,-3.279517E-04,-3.044883E-04,-2.188508E-03,-3.240777E-04,-1.590236E-04,-7.038007E-05,1.236877E-04,-4.415496E-04,-3.283143E-06,-2.534511E-05,-2.837024E-04,-4.274221E-05,4.252832E-06,0,1.821616E-05,-6.50294E-05,-3.300082E-06,-2.540745E-05,-2.863941E-04,-4.280214E-05,4.264363E-06,0,1.821616E-05,-6.50294E-05,
45630.5537962963,.1745,-3.946565E-04,-1.492833E-04,-1.690992E-03,-3.362845E-05,-1.87961E-04,-7.038007E-05,1.232334E-04,-3.090046E-03,-3.951334E-04,-1.493181E-04,-1.702651E-03,-3.362845E-05,-1.87961E-04,-7.038007E-05,1.236877E-04,-3.090847E-03,-1.313005E-05,-2.535613E-06,-2.130775E-04,0,0,0,1.821616E-05,-4.552058E-04,-1.320033E-05,-2.540745E-06,-2.147956E-04,0,0,0,1.821616E-05,-4.552058E-04,
45630.5538078704,.1067,-2.164137E-04,5.633231E-06,-7.284133E-04,-6.132015E-04,-1.591019E-04,-7.038007E-05,4.109722E-04,-4.410456E-04,-2.159823E-04,5.852035E-06,-7.309364E-04,-6.145269E-04,-1.590236E-04,-7.038007E-05,4.122924E-04,-4.415496E-04,1.313677E-05,2.029372E-05,-7.122672E-05,-8.540898E-05,4.252832E-06,0,6.072054E-05,-6.50294E-05,1.320033E-05,2.032596E-05,-7.159853E-05,-8.560429E-05,4.264363E-06,0,6.072054E-05,-6.50294E-05,
45630.5538194444,.19145,-3.278368E-04,-1.32077E-04,-9.418831E-04,-3.23671E-04,-1.446705E-04,1.747149E-04,-1.232482E-04,-1.323721E-03,-3.279517E-04,-1.32077E-04,-9.459584E-04,-3.240777E-04,-1.445549E-04,1.748417E-04,-1.236877E-04,-1.324649E-03,-3.283143E-06,0,-1.026848E-04,-4.274221E-05,6.379513E-06,3.61185E-05,-1.821616E-05,-1.950882E-04,-3.300082E-06,0,-1.032853E-04,-4.280214E-05,6.396545E-06,3.61372E-05,-1.821616E-05,-1.950882E-04,
45630.5538310185,.2423,-1.549336E-05,-6.323241E-05,-2.45079E-04,-3.235452E-04,7.236277E-04,4.863335E-04,-4.114848E-05,-1.32174E-03,-1.425758E-05,-6.310971E-05,-2.45079E-04,-3.239516E-04,7.237784E-04,4.861133E-04,-4.127276E-05,-1.322666E-03,4.274545E-05,1.014531E-05,0,-4.272368E-05,1.343366E-04,8.204028E-05,-6.078463E-06,-1.947962E-04,4.292756E-05,1.016339E-05,0,-4.278357E-05,1.343588E-04,8.200783E-05,-6.078463E-06,-1.947962E-04,
