[Header]
HydroSoftVersion=2.90
CreationDate=12/05/24 09:02:23
FileType=dat
DeviceType=HydroScat-6
DataSource=Instrument Cast 288
CalSource=HydroScat-6
Serial=HS120460
Config=M2B2F1
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb420"
"bb510"
"bb442"
"bb700"
"bb470"
"bb590"
"fl510"
"fl700"
[ColumnHeadings]
Time,Depth,bb420,bb510,bb442,bb700,bb470,bb590,fl510,fl700,bb420uncorr,bb510uncorr,bb442uncorr,bb700uncorr,bb470uncorr,bb590uncorr,fl510uncorr,fl700uncorr,betabb420,betabb510,betabb442,betabb700,betabb470,betabb590,betafl510,betafl700,betabb420uncorr,betabb510uncorr,betabb442uncorr,betabb700uncorr,betabb470uncorr,betabb590uncorr,betafl510uncorr,betafl700uncorr
[Data]
45630.5809722222,-4.584999E-02,-3.055579E-04,-7.509254E-04,7.383381E-04,1.850261E-03,3.735191E-04,4.298956E-04,-9.112967E-05,-7.760466E-05,-3.055579E-04,-7.532274E-04,7.392562E-04,1.840529E-03,3.741777E-04,4.297804E-04,-9.153132E-05,-7.740396E-05,0,-9.11968E-05,1.449216E-04,2.7762E-04,8.274271E-05,7.37233E-05,-1.348031E-05,-1.13997E-05,0,-9.153605E-05,1.450569E-04,2.761859E-04,8.283975E-05,7.370632E-05,-1.348031E-05,-1.13997E-05,
45630.5809837963,3.890001E-02,2.992285E-04,-1.20956E-03,2.192157E-03,-9.022208E-04,7.227653E-04,2.259319E-04,-4.926879E-04,-3.526808E-03,3.012586E-04,-1.214967E-03,2.184208E-03,-9.049761E-04,7.229181E-04,2.260407E-04,-4.947509E-04,-3.532397E-03,8.912455E-05,-1.587836E-04,3.591641E-04,-1.280004E-04,1.342095E-04,4.366611E-05,-7.286464E-05,-5.202352E-04,8.942371E-05,-1.595804E-04,3.579926E-04,-1.284064E-04,1.34232E-04,4.368215E-05,-7.286464E-05,-5.202352E-04,
45630.5809953704,5.585001E-02,-1.04195E-04,-5.94656E-04,4.824866E-04,-3.362845E-05,9.838507E-04,2.259319E-04,8.21384E-04,-1.765741E-03,-1.032857E-04,-5.961726E-04,4.837069E-04,-3.362845E-05,9.831693E-04,2.260407E-04,8.245849E-04,-1.766198E-03,2.967391E-05,-6.81681E-05,1.07218E-04,0,1.726844E-04,4.366611E-05,1.214411E-04,-2.601176E-04,2.98079E-05,-6.839161E-05,1.073978E-04,0,1.72584E-04,4.368215E-05,1.214411E-04,-2.601176E-04,
45630.5810069444,2.195001E-02,-3.055579E-04,-1.669339E-03,4.824866E-04,-3.362845E-05,2.017656E-04,-7.038007E-05,4.099515E-04,-3.090046E-03,-3.055579E-04,-1.679062E-03,4.837069E-04,-3.362845E-05,2.024158E-04,-7.038007E-05,4.122924E-04,-3.090847E-03,0,-2.265391E-04,1.07218E-04,0,5.743219E-05,0,6.072054E-05,-4.552058E-04,0,-2.27972E-04,1.073978E-04,0,5.7528E-05,0,6.072054E-05,-4.552058E-04,
45630.5810185185,-9.669999E-02,-3.055579E-04,-2.127922E-03,-2.899427E-06,-3.362845E-05,-1.446705E-04,3.742811E-04,-3.687167E-04,-3.531482E-03,-3.055579E-04,-2.143158E-03,-2.150397E-06,-3.362845E-05,-1.445549E-04,3.742512E-04,-3.710632E-04,-3.532397E-03,0,-2.941184E-04,3.568888E-05,0,6.379513E-06,6.552765E-05,-5.464848E-05,-5.202352E-04,0,-2.963636E-04,3.579926E-05,0,6.396545E-06,6.552324E-05,-5.464848E-05,-5.202352E-04,
45630.5810300926,.1745,-2.164137E-04,9.552744E-04,5.624613E-04,-1.478728E-03,1.152996E-04,-4.819454E-03,-1.646073E-04,-1.321385E-03,-2.159823E-04,9.541142E-04,5.636279E-04,-1.485875E-03,1.158813E-04,-4.893076E-03,-1.64917E-04,-1.324649E-03,1.313677E-05,1.602379E-04,1.190035E-04,-2.129576E-04,4.46901E-05,-6.998489E-04,-2.428821E-05,-1.950882E-04,1.320033E-05,1.600669E-04,1.191754E-04,-2.140107E-04,4.477581E-05,-7.106982E-04,-2.428821E-05,-1.950882E-04,
45630.5810416667,.22535,-1.941205E-04,7.303589E-04,7.748182E-05,-1.66393E-06,1.415381E-05,-9.985307E-04,6.171034E-04,-1.456807E-03,-1.935884E-04,7.299795E-04,7.840371E-05,-1.65047E-06,1.460053E-05,-1.002223E-03,6.184386E-04,-1.457114E-03,1.642201E-05,1.270932E-04,4.753429E-05,4.710462E-06,2.978471E-05,-1.367772E-04,9.10808E-05,-2.14597E-04,1.650041E-05,1.270372E-04,4.767015E-05,4.712445E-06,2.985054E-05,-1.373213E-04,9.10808E-05,-2.14597E-04,
45630.5810532407,5.585001E-02,1.217208E-02,5.637462E-03,1.158338E-02,1.443186E-03,1.211631E-02,1.173189E-02,2.10673E-04,6.63635E-04,1.180953E-02,5.557496E-03,1.123856E-02,1.437359E-03,1.173423E-02,1.135696E-02,2.061462E-04,6.623244E-04,1.838771E-03,8.502301E-04,1.743104E-03,2.176312E-04,1.813223E-03,1.739245E-03,3.036027E-05,9.754409E-05,1.785345E-03,8.384458E-04,1.69229E-03,2.167725E-04,1.756918E-03,1.683993E-03,3.036027E-05,9.754409E-05,
45630.5810648148,.19145,1.334489E-02,1.025883E-02,1.287905E-02,7.149884E-03,1.216901E-02,8.73444E-03,7.218746E-04,1.427779E-03,1.290683E-02,9.988466E-03,1.245162E-02,7.001527E-03,1.178359E-02,8.525824E-03,7.008971E-04,1.412959E-03,2.011602E-03,1.53126E-03,1.934043E-03,1.058601E-03,1.820989E-03,1.297525E-03,1.032249E-04,2.080941E-04,1.947049E-03,1.491417E-03,1.871053E-03,1.036738E-03,1.764192E-03,1.266783E-03,1.032249E-04,2.080941E-04,
45630.5810763889,7.280001E-02,1.370535E-02,1.000415E-02,1.331295E-02,7.434426E-03,1.171516E-02,8.703163E-03,4.246921E-04,2.325566E-03,1.324274E-02,9.747091E-03,1.285597E-02,7.274134E-03,1.135804E-02,8.496035E-03,4.122924E-04,2.300473E-03,2.064723E-03,1.493729E-03,1.997983E-03,1.100532E-03,1.754108E-03,1.292916E-03,6.072054E-05,3.388032E-04,1.99655E-03,1.455847E-03,1.930641E-03,1.076911E-03,1.701481E-03,1.262393E-03,6.072054E-05,3.388032E-04,
