[Header]
HydroSoftVersion=2.90
CreationDate=12/05/24 08:57:23
FileType=dat
DeviceType=HydroScat-6
DataSource=Instrument Cast 285
CalSource=HydroScat-6
Serial=HS120460
Config=M2B2F1
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb420"
"bb510"
"bb442"
"bb700"
"bb470"
"bb590"
"fl510"
"fl700"
[ColumnHeadings]
Time,Depth,bb420,bb510,bb442,bb700,bb470,bb590,fl510,fl700,bb420uncorr,bb510uncorr,bb442uncorr,bb700uncorr,bb470uncorr,bb590uncorr,fl510uncorr,fl700uncorr,betabb420,betabb510,betabb442,betabb700,betabb470,betabb590,betafl510,betafl700,betabb420uncorr,betabb510uncorr,betabb442uncorr,betabb700uncorr,betabb470uncorr,betabb590uncorr,betafl510uncorr,betafl700uncorr
[Data]
45630.5279166667,-1.194999E-02,-1.107781E-04,-7.729847E-05,-1.131983E-04,2.98635E-04,1.771703E-05,-3.041447E-05,5.018279E-05,3.484034E-05,-1.098949E-04,-7.719867E-05,-1.127479E-04,2.984717E-04,1.81695E-05,-3.036971E-05,5.034223E-05,3.483178E-05,2.870378E-05,8.072459E-06,1.943466E-05,4.896411E-05,3.030981E-05,5.889544E-06,7.414172E-06,5.129864E-06,2.883394E-05,8.087165E-06,1.950103E-05,4.894006E-05,3.037648E-05,5.896141E-06,7.414172E-06,5.129864E-06,
45630.5279282407,7.280001E-02,1.417247E-04,2.287952E-05,-6.734773E-04,1.086881E-03,-1.603136E-02,-7.038007E-05,8.258694E-05,2.637301E-03,1.434282E-04,2.311822E-05,-6.756444E-04,1.08366E-03,-1.685697E-02,-7.038007E-05,8.280777E-05,2.633508E-03,6.591394E-05,2.283522E-05,-6.313105E-05,1.651242E-04,-2.334768E-03,0,1.219555E-05,3.87851E-04,6.616498E-05,2.28704E-05,-6.34504E-05,1.646496E-04,-2.456434E-03,0,1.219555E-05,3.87851E-04,
45630.5279398148,8.975001E-02,3.007278E-04,-1.669586E-03,-6.734773E-04,-3.231685E-04,.1412264,-3.6758E-04,-4.120453E-04,-4.38611E-04,3.027603E-04,-1.679312E-03,-6.756444E-04,-3.235741E-04,.104661,-3.68208E-04,-4.140389E-04,-4.38918E-04,8.934549E-05,-2.265755E-04,-6.313105E-05,-4.266817E-05,2.083958E-02,-4.379698E-05,-6.097774E-05,-6.464183E-05,8.964501E-05,-2.280088E-04,-6.34504E-05,-4.272793E-05,.0154511,-4.38895E-05,-6.097774E-05,-6.464183E-05,
45630.5279513889,-1.194999E-02,5.032908E-04,4.86668E-04,-5.129537E-04,2.564225E-04,.0270615,2.273397E-04,-2.067082E-03,0,5.05533E-04,4.86817E-04,-5.141824E-04,2.563171E-04,2.521023E-02,2.274478E-04,-2.070194E-03,0,1.191963E-04,9.118157E-05,-3.947543E-05,4.274345E-05,4.015625E-03,4.387357E-05,-3.048887E-04,0,1.195267E-04,9.120353E-05,-3.96565E-05,4.272793E-05,3.742813E-03,4.38895E-05,-3.048887E-04,0,
45630.527962963,.1067,-1.036964E-04,9.521349E-04,-3.31806E-06,-3.362845E-05,-5.802812E-05,2.273397E-04,1.239979E-03,-3.07163E-03,-1.027852E-04,9.509876E-04,-2.570029E-06,-3.362845E-05,-5.771382E-05,2.274478E-04,1.242117E-03,-3.072426E-03,2.974739E-05,1.597753E-04,3.562719E-05,0,1.91476E-05,4.387357E-05,1.829332E-04,-4.524928E-04,2.988167E-05,1.596062E-04,3.573742E-05,0,1.919391E-05,4.38895E-05,1.829332E-04,-4.524928E-04,
45630.527974537,.1745,.0133104,5.461823E-02,.2375913,.1962751,.1458312,.0477478,6.744183E-03,0,1.287467E-02,4.783221E-02,.1527781,.1316017,.1072659,4.222118E-02,6.210583E-03,0,2.006521E-03,8.068297E-03,3.504883E-02,.0289291,2.151816E-02,7.046742E-03,9.146661E-04,0,1.942308E-03,7.068274E-03,2.255031E-02,1.939848E-02,1.583498E-02,6.23231E-03,9.146661E-04,0,
45630.5279861111,8.975001E-02,1.234763E-02,8.403892E-03,1.200888E-02,6.165771E-03,1.079523E-02,7.95411E-03,-2.124062E-04,1.727249E-03,1.197421E-02,8.222993E-03,1.163786E-02,6.055229E-03,.0104923,7.781115E-03,-2.070194E-04,1.71178E-03,1.864641E-03,1.257906E-03,1.80581E-03,9.135766E-04,1.618541E-03,1.182532E-03,-3.048887E-05,2.521031E-04,1.809612E-03,1.231248E-03,1.751134E-03,8.972866E-04,1.573901E-03,1.157038E-03,-3.048887E-05,2.521031E-04,
45630.5279976852,.12365,1.294713E-02,1.057032E-02,1.227965E-02,6.638525E-03,-7.730032E-03,8.315131E-03,-1.279143E-04,1.635374E-03,1.253544E-02,1.028325E-02,1.189148E-02,6.510491E-03,-7.921453E-03,8.126055E-03,-1.242117E-04,1.619608E-03,1.952987E-03,1.577162E-03,1.845711E-03,9.832442E-04,-1.11144E-03,1.235734E-03,-1.829332E-05,2.385283E-04,1.892318E-03,1.534858E-03,1.788508E-03,9.643763E-04,-1.139649E-03,1.20787E-03,-1.829332E-05,2.385283E-04,
45630.5280092593,.2084,1.446627E-02,1.177767E-02,1.378068E-02,7.443896E-03,.0083934,9.160326E-03,4.279233E-05,1.703853E-03,1.394975E-02,1.142135E-02,1.329082E-02,7.283199E-03,8.211711E-03,8.930916E-03,4.140388E-05,1.685445E-03,2.176856E-03,1.755084E-03,2.06691E-03,1.101928E-03,1.264595E-03,1.360286E-03,6.097774E-06,2.482246E-04,2.100738E-03,1.702574E-03,1.994722E-03,1.078247E-03,1.237821E-03,1.326479E-03,6.097774E-06,2.482246E-04,
45630.5280208333,.1406,1.396773E-02,1.080798E-02,.0142094,7.915031E-03,1.077521E-02,8.825698E-03,4.27547E-05,1.950762E-03,1.348685E-02,1.050785E-02,1.368846E-02,7.733568E-03,1.047342E-02,8.612705E-03,4.144778E-05,1.928366E-03,2.103388E-03,1.612186E-03,2.130089E-03,1.171357E-03,1.615592E-03,1.310974E-03,6.104238E-06,2.840009E-04,2.032522E-03,1.567956E-03,2.05332E-03,1.144615E-03,1.571118E-03,1.279586E-03,6.104238E-06,2.840009E-04,
