[Header]
HydroSoftVersion=2.90
CreationDate=12/05/24 08:55:40
FileType=dat
DeviceType=HydroScat-6
DataSource=Instrument Cast 284
CalSource=HydroScat-6
Serial=HS120460
Config=M2B2F1
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb420"
"bb510"
"bb442"
"bb700"
"bb470"
"bb590"
"fl510"
"fl700"
[ColumnHeadings]
Time,Depth,bb420,bb510,bb442,bb700,bb470,bb590,fl510,fl700,bb420uncorr,bb510uncorr,bb442uncorr,bb700uncorr,bb470uncorr,bb590uncorr,fl510uncorr,fl700uncorr,betabb420,betabb510,betabb442,betabb700,betabb470,betabb590,betafl510,betafl700,betabb420uncorr,betabb510uncorr,betabb442uncorr,betabb700uncorr,betabb470uncorr,betabb590uncorr,betafl510uncorr,betafl700uncorr
[Data]
45630.5081134259,7.280001E-02,1.282708E-02,9.878602E-03,.0124083,6.797941E-03,1.229721E-02,8.212069E-03,3.705518E-04,2.367191E-03,.0124232,9.627978E-03,1.201185E-02,6.663727E-03,1.190362E-02,8.027654E-03,3.602138E-04,2.343822E-03,1.935295E-03,1.475227E-03,1.864669E-03,1.006737E-03,1.839882E-03,1.220546E-03,5.305063E-05,3.451874E-04,1.875777E-03,1.438294E-03,1.806247E-03,9.86958E-04,1.78188E-03,1.19337E-03,5.305063E-05,3.451874E-04,
45630.508125,3.890001E-02,1.313937E-02,9.969474E-03,1.237478E-02,6.84885E-03,1.734614E-04,8.213566E-03,3.409204E-04,2.433866E-03,1.271504E-02,9.714198E-03,.0119805,6.712633E-03,1.740939E-04,8.029084E-03,3.312311E-04,2.40966E-03,1.981317E-03,1.488618E-03,1.85973E-03,1.014239E-03,5.326113E-05,1.220767E-03,4.878219E-05,3.548836E-04,1.918784E-03,.001451,1.801626E-03,9.941651E-04,5.335434E-05,1.19358E-03,4.878219E-05,3.548836E-04,
45630.5081365741,.2762,1.340402E-02,9.93312E-03,1.370462E-02,7.367275E-03,1.189452E-02,8.928943E-03,3.026588E-04,2.537748E-03,1.296198E-02,9.67971E-03,1.322018E-02,7.20984E-03,1.152635E-02,8.710948E-03,2.939676E-04,2.510611E-03,2.020316E-03,1.483261E-03,2.055702E-03,1.090637E-03,1.78054E-03,1.326188E-03,4.32942E-05,3.697513E-04,1.955175E-03,1.445917E-03,1.984312E-03,1.067436E-03,1.726283E-03,1.294063E-03,4.32942E-05,3.697513E-04,
45630.5081481481,.63215,1.393441E-02,1.007858E-02,1.509619E-02,9.479508E-03,9.747007E-03,8.784741E-03,3.327971E-04,2.549966E-03,1.345586E-02,9.817662E-03,.0145081,9.220405E-03,9.500626E-03,8.573717E-03,3.229503E-04,.002515,2.098478E-03,1.504697E-03,2.260772E-03,1.401906E-03,1.46407E-03,1.304938E-03,4.756264E-05,3.703977E-04,2.027957E-03,1.466247E-03,2.174107E-03,1.363724E-03,1.427762E-03,1.27384E-03,4.756264E-05,3.703977E-04,
45630.5081597222,.8525,1.420016E-02,1.040626E-02,1.360687E-02,7.219805E-03,1.009843E-02,9.15148E-03,3.031691E-04,2.643659E-03,1.370281E-02,1.012805E-02,1.312936E-02,7.068557E-03,9.833717E-03,8.922512E-03,2.939676E-04,2.615951E-03,2.13764E-03,1.552986E-03,2.041297E-03,1.068905E-03,1.515858E-03,1.358983E-03,4.32942E-05,3.852653E-04,2.064347E-03,1.511987E-03,1.970928E-03,1.046616E-03,1.476848E-03,1.325241E-03,4.32942E-05,3.852653E-04,
45630.5081712963,1.2593,1.441786E-02,1.046093E-02,1.378068E-02,7.617125E-03,1.143376E-02,8.888375E-03,4.057951E-04,2.804965E-03,1.390485E-02,1.017978E-02,1.329082E-02,7.448934E-03,1.109367E-02,8.672352E-03,3.933369E-04,2.773962E-03,2.169721E-03,1.561042E-03,2.06691E-03,1.127456E-03,1.712638E-03,1.32021E-03,5.792885E-05,4.085364E-04,2.094122E-03,1.519611E-03,1.994722E-03,1.10267E-03,1.662521E-03,1.288376E-03,5.792885E-05,4.085364E-04,
45630.5081828704,1.5644,1.407932E-02,1.029697E-02,1.404169E-02,8.086562E-03,1.181924E-02,9.112366E-03,3.628383E-04,2.589255E-03,1.359056E-02,1.002459E-02,1.353301E-02,7.897236E-03,1.145572E-02,8.885345E-03,3.51933E-04,2.558892E-03,2.119832E-03,1.53688E-03,2.105374E-03,1.196635E-03,1.769445E-03,1.353219E-03,5.183108E-05,3.768619E-04,2.047806E-03,1.49674E-03,2.030413E-03,1.168735E-03,1.715875E-03,1.319763E-03,5.183108E-05,3.768619E-04,
45630.5081944444,1.7678,1.434526E-02,1.046093E-02,1.433212E-02,8.445894E-03,1.158786E-02,9.419488E-03,3.886717E-04,2.53728E-03,.0138375,1.017978E-02,1.380211E-02,8.239576E-03,1.123849E-02,9.17696E-03,3.767754E-04,2.506222E-03,2.159023E-03,1.561042E-03,2.148174E-03,1.249588E-03,1.735347E-03,1.398478E-03,5.548974E-05,3.691048E-04,2.084197E-03,1.519611E-03,2.070069E-03,1.219184E-03,1.683863E-03,1.362737E-03,5.548974E-05,3.691048E-04,
45630.5082060185,2.1068,.0139827,1.095365E-02,1.398365E-02,7.381462E-03,1.191187E-02,9.478261E-03,3.716509E-04,2.688649E-03,1.350076E-02,1.064537E-02,1.347919E-02,7.223425E-03,1.154262E-02,9.23271E-03,3.602138E-04,2.659843E-03,2.105594E-03,1.633652E-03,2.096822E-03,1.092727E-03,1.783096E-03,1.407139E-03,5.305063E-05,3.917295E-04,2.034573E-03,1.588222E-03,2.022482E-03,1.069438E-03,1.72868E-03,1.370953E-03,5.305063E-05,3.917295E-04,
45630.5082175926,2.22545,1.347626E-02,9.624391E-03,1.415781E-02,7.952715E-03,1.131057E-02,9.416474E-03,2.301189E-04,2.677561E-03,1.302933E-02,9.386564E-03,1.364065E-02,7.769538E-03,1.097781E-02,9.174101E-03,2.23581E-04,2.646676E-03,2.030962E-03,1.437765E-03,2.122486E-03,1.17691E-03,1.694485E-03,1.398033E-03,3.292798E-05,3.897902E-04,.0019651,1.402718E-03,2.046275E-03,1.149916E-03,1.645448E-03,1.362316E-03,3.292798E-05,3.897902E-04,
